problem,noise_level,sample_size,a0,a1,a2,a3,a4,b0,RMSE_obs_train,R2_obs_train,NRMSEr_obs_train,NRMSEm_obs_train,RMSE_obs_test,R2_obs_test,NRMSEr_obs_test,NRMSEm_obs_test,RMSE_clean_train,R2_clean_train,NRMSEr_clean_train,NRMSEm_clean_train,RMSE_clean_test,R2_clean_test,NRMSEr_clean_test,NRMSEm_clean_test,RMSE_obs_test_x0OOD,R2_obs_test_x0OOD,NRMSEr_obs_test_x0OOD,NRMSEm_obs_test_x0OOD,RMSE_obs_test_x1OOD,R2_obs_test_x1OOD,NRMSEr_obs_test_x1OOD,NRMSEm_obs_test_x1OOD,RMSE_obs_test_x0x1OOD,R2_obs_test_x0x1OOD,NRMSEr_obs_test_x0x1OOD,NRMSEm_obs_test_x0x1OOD,RMSE_clean_test_x0OOD,RMSE_clean_test_x1OOD,RMSE_clean_test_x0x1OOD,estimated_param_name,hessian_train_loss_autodiff,hessian_train_loss_finite_diff,estimated_param_mean,estimated_param_median,estimated_param_diameter,estimated_param_diameter_95,estimated_param_std,a5
new_1_2,0.1,512,,-0.3005700657934119,,,,0.0791330912362496,12.091691,0.9462713,0.04866627,0.3214593,11.91723,0.95066285,0.04740393,0.3224432,10.11141,0.96160614,0.042182945,0.27255902,10.060577,0.96426445,0.0419305,0.2715644,46.346256,0.82132375,0.11379593,0.13881354,12.935971,0.9440995,0.048710678,0.36216745,50.881718,0.79834676,0.12350299,0.15383592,45.63591,11.300993,50.359818,a1,184.72787475585938,182.68620974026817,-0.30056864372466224,-0.30056872405213464,3.4593972212948465e-06,2.2365657311174125e-06,5.078660539268068e-07,
new_1_2,0.1,2048,,-0.4255610441171969,,,,0.0684187391723655,11.217213,0.9559341,0.041677065,0.2962818,11.284092,0.95653826,0.04266245,0.29608798,9.00779,0.9711453,0.036976345,0.23854947,9.033861,0.9714559,0.03747403,0.23655626,40.741047,0.86678314,0.09787389,0.12165975,12.294767,0.95318943,0.0469802,0.31698647,45.24909,0.83147603,0.11190847,0.13607971,40.00418,10.47056,44.68595,a1,189.58067321777344,181.96058017849737,-0.4255568419390088,-0.42555702076197266,1.051920807471074e-05,7.516217544190074e-06,1.7792696599438624e-06,
new_1_3,0.0001,32,,,0.000122105511496,,,4.717390447481218,55.820095,7.748604e-07,0.36378217,1.183283,52.455563,-0.062309027,0.22017641,1.5217814,55.821663,7.748604e-07,0.36376724,1.1833842,52.455544,-0.06231177,0.22019738,1.5217927,309.28287,-6.4477835,0.7782587,0.92338324,55.736412,-0.052907586,0.2347473,1.6071743,300.28766,-6.408755,0.7730425,0.9198259,309.2824,55.7365,300.28723,a2,0.8840364217758179,25.889203698170604,5.26868767140789e-06,2.8238632262675336e-06,0.00020092100588020172,0.00011477850905675301,3.376305514051242e-05,
new_1_3,0.0001,128,,,-3.7006228051299863e-06,,,3.9780133966689295,53.150867,5.9604645e-08,0.2230773,1.336116,53.853085,-0.004373312,0.21775424,1.4865619,53.150753,0.0,0.22308356,1.3361013,53.853085,-0.004374385,0.21775855,1.4865822,312.63235,-6.44864,0.78973734,0.94544953,58.475216,-0.0027372837,0.24806313,1.5922427,319.0386,-7.168414,0.82242954,0.9420822,312.6322,58.474796,319.03867,a2,0.9573293924331665,24.161521196219837,-4.804889963752027e-06,-5.299515479707884e-06,0.0001532065616782522,0.00012499751956121202,3.0083776421892582e-05,
new_1_3,0.0001,512,,,0.0002663439702123,,,3.7098543690995434,51.60381,4.7683716e-07,0.21528764,1.3909917,53.219814,-1.1920929e-07,0.22181438,1.4365618,51.6037,5.364418e-07,0.21528114,1.3910081,53.21975,-1.1920929e-07,0.22180942,1.4365567,316.6021,-7.359906,0.7988453,0.9474508,54.673107,-0.00077831745,0.2293451,1.5369048,314.83777,-6.7313037,0.80975264,0.95154506,316.60242,54.673428,314.8379,a2,0.8870574235916138,-8.187221737898653,-2.8930304747668086e-06,-5.440861646838036e-06,0.00043646108055,0.0002767898908666,7.630514871575749e-05,
new_1_3,0.0001,2048,,,0.0006539997500017,,,3.776067806610641,53.02847,2.6226044e-06,0.21767053,1.4043268,53.472485,-6.186962e-05,0.22180882,1.4002072,53.028473,2.503395e-06,0.21767816,1.4043306,53.472248,-6.175041e-05,0.22181219,1.4001981,317.49838,-7.125434,0.80446887,0.9475285,56.442616,-0.00028038025,0.23697919,1.4582818,314.7144,-7.1579533,0.8071611,0.9463521,317.49857,56.442593,314.71445,a2,0.900070071220398,-1.8345863281865604,-2.0309832000716425e-05,9.239973128365207e-07,0.0013285173419976,0.0011093734265247,0.0002680009654025171,
new_1_3,0.001,32,,,0.0001389227112913,,,4.719830840802608,55.806004,7.748604e-07,0.36391678,1.1823726,52.461704,-0.06252289,0.22001302,1.5218533,55.821667,7.1525574e-07,0.36376727,1.1833843,52.461456,-0.06255138,0.22022219,1.5219642,309.26443,-6.446377,0.7780801,0.9233199,55.741135,-0.05312693,0.2347173,1.6073678,300.26852,-6.407793,0.7728736,0.91975665,309.25967,55.741974,300.26456,a2,0.8840364217758179,30.932178560760804,1.2884765506947221e-06,-9.575691909309411e-08,0.0002444471557098,0.00013883650611590085,3.6300578601361465e-05,
new_1_3,0.001,128,,,-1.7124578340029754e-05,,,3.977697630498953,53.151955,5.9604645e-08,0.22302122,1.3362494,53.852875,-0.004354596,0.21771462,1.4863744,53.150753,0.0,0.22308356,1.3361013,53.85288,-0.0043666363,0.21775772,1.4865764,312.63666,-6.44885,0.7897804,0.94545823,58.47887,-0.0027278662,0.24788567,1.5922636,319.0411,-7.1681128,0.82264787,0.9420941,312.63513,58.474632,319.04163,a2,0.9573293924331665,-6.841985850769561,2.957554040847483e-06,2.4471072665950886e-06,0.00015976431220361074,0.00012256662216367166,3.3767900553625057e-05,
new_1_3,0.001,512,,,0.0001258263398916,,,3.7103210288810224,51.60482,2.9802322e-07,0.21530953,1.3908446,53.220467,-7.1525574e-07,0.22175895,1.4366101,51.603706,2.9802322e-07,0.21528117,1.3910084,53.21976,-7.1525574e-07,0.22180946,1.4365569,316.5952,-7.3595924,0.7990127,0.9474375,54.670376,-0.00078189373,0.22922416,1.5367717,314.832,-6.731138,0.80976987,0.9515307,316.59805,54.67356,314.83344,a2,0.8870574235916138,-16.231574591074605,-1.261765876383594e-05,-2.0647143076396306e-05,0.00032757217359450004,0.0002694584343625,7.211708510092666e-05,
new_1_3,0.001,2048,,,0.0006498369913414,,,3.7761571863596592,53.028465,2.503395e-06,0.2175618,1.4042933,53.47464,-6.1392784e-05,0.22177874,1.4002895,53.028477,2.4437904e-06,0.21767817,1.4043306,53.47224,-6.151199e-05,0.22181216,1.4001979,317.49597,-7.12525,0.8042075,0.94752645,56.442863,-0.00028014183,0.23678468,1.4582604,314.7127,-7.158078,0.8070603,0.946348,317.4977,56.442577,314.71362,a2,0.900070071220398,-4.121374786336673,-1.1208900402106612e-05,-1.5417072051614043e-05,0.0014213746002273001,0.0010014855173601,0.00023673977218519144,
